Category,Category in detail,Pureesha pareeksha,Search Term for Feature of pureesha,Reference
Advise,Milk (Advise),Atisaara,Milk (Advise),(Ch. Su. 1. 110)
Treatment,Milk (Pharmaceutical use),Virechana,Milk (Pharmaceutical use),(Ch. Su. 1. 112)
Treatment,Trivritaadi (Pharmaceutical use),Virekartha,Trivritaadi (Pharmaceutical use),(Ch. Su. 2. 9)
Treatment,Dadhitaadi (Pharmaceutical use),Vaataja atisaara,Dadhitaadi (Pharmaceutical use),(Ch. Su. 2. 19)
Treatment,Shaliparnyaadi peya (Pharmaceutical use),Pittaja atisaara,Shaliparnyaadi peya (Pharmaceutical use),(Ch. Su. 2. 20)
Treatment,Shaliparnyaadi peya (Pharmaceutical use),Shleshmika atisaara,Shaliparnyaadi peya (Pharmaceutical use),(Ch. Su. 2. 20)
Treatment,Payasyaadi peya (Pharmaceutical use),Raktaja atisaara,Payasyaadi peya (Pharmaceutical use),(Ch. Su. 2. 21)
Treatment,Ativishaadi peya (Pharmaceutical use),Aamaja atisaara,Ativishaadi peya (Pharmaceutical use),(Ch. Su. 2. 22)
Treatment,Shakaadi peya (Pharmaceutical use),Varcho Nirasya,Shakaadi peya (Pharmaceutical use),(Ch. Su. 2. 28)
Treatment,Jambu aadi peya (Pharmaceutical use),Varcho sangraahika,Jambu aadi peya (Pharmaceutical use),(Ch. Su. 2. 28)
Treatment,Shad virechana shataani (Pharmaceutical use),Virechana,Shad virechana shataani (Pharmaceutical use),(Ch. Su. 4. 3)
Treatment,Shad virechana aashraya (Pharmaceutical use),Virechana,Shad virechana aashraya (Pharmaceutical use),(Ch. Su. 4. 3)
Treatment,Shad virechana shataani (Pharmaceutical use),Virechana,Shad virechana shataani (Pharmaceutical use),(Ch. Su. 4. 4)
Treatment,Shad virechana aashraya (Pharmaceutical use),Virechana,Shad virechana aashraya (Pharmaceutical use),(Ch. Su. 4. 5)
Treatment,Virechana upaga (Pharmaceutical use),Virechana,Virechana upaga (Pharmaceutical use),(Ch. Su. 4. 8)
Treatment,Pureesha virajaneeya (Pharmaceutical use),Pureesha,Pureesha virajaneeya (Pharmaceutical use),(Ch. Su. 4. 8)
Treatment,Pureesha sangrahaneeya (Pharmaceutical use),Pureesha,Pureesha sangrahaneeya (Pharmaceutical use),(Ch. Su. 4. 8)
Treatment,Virechana upaga (Pharmaceutical use),Virechana,Virechana upaga (Pharmaceutical use),(Ch. Su. 4. 13)
Treatment,Pureesha virajaneeya (Pharmaceutical use),Pureesha,Pureesha virajaneeya (Pharmaceutical use),(Ch. Su. 4. 15)
Treatment,Pureesha sangrahaneeya (Pharmaceutical use),Pureesha,Pureesha sangrahaneeya (Pharmaceutical use),(Ch. Su. 4. 15)
Advise,Contraindication of dhupana (Treatment),Virikta,Contraindication of dhupana (Treatment),(Ch. Su. 5. 41)
Advise,Snaana guna (Practice),Mala,Snaana guna (Practice),(Ch. Su. 5. 93-94)
Advise,Vasanta ritu charya - Shoucha karma (Practice),Mala,Vasanta ritu charya - Shoucha karma (Practice),(Ch. Su. 6. 24)
Advise,Sharad ritu charya (Practice),Vireko,Sharad ritu charya (Practice),(Ch. Su. 6. 43)
Advise,Pureesha vega dhaarana (Practice),Pureesha,Pureesha vega dhaarana (Practice),(Ch. Su. 7. 3 - 4)
Advise,Pureesha vega dharana (Practice),Pureesha,Pureesha vega dharana (Practice),(Ch. Su. 7. 8)
Treatment,Pratihata varcha chikitsa,Varcha,Pratihata varcha chikitsa,(Ch. Su. 7. 9)
Disease,Vaata nigraha lakshana - Sango Vin (Disease feature),Vin,Obstruction of feces,(Ch. Su. 7. 12)
Treatment,Charddhi nigraha chikitsa,Vireka,Charddhi nigraha chikitsa,(Ch. Su. 7. 15)
Anatomy,Mentioning mala aayana (Anatomy),Mala,Mentioning mala aayana (Anatomy),(Ch. Su. 7. 42)
Disease,Mala vruddhi causing guruta to mala aayana (Disease feature),Mala,Heaviness around anus,(Ch. Su. 7. 43)
Disease,Mala kshaya causing laghuta to mala aayana (Disease feature),Mala,Lightness around anus,(Ch. Su. 7. 43)
Advise,Contraindicated places or context for varcho srujate (Practice),Varcho,Contraindicated places or context for varcho srujate (Practice),(Ch. Su. 8. 21)
Advise,Mala aayaneshu abheekshanam vaimalyam (Practice),Mala,Mala aayaneshu abheekshanam vaimalyam (Practice),(Ch. Su. 8. 18)
Advise,Na ucchaara peedito vyavaaya (Practice),Ucchaara,Na ucchaara peedito vyavaaya (Practice),(Ch. Su. 8. 22)
Advise,Abhyantara roga maarga disease (Disease),Atisaara,Abhyantara roga maarga disease (Disease),(Ch. Su. 11. 49)
Cause,Vegadhaarana as Prajna aparaadha (Disease cause),Vega,Vegadhaarana as Prajna aparaadha (Disease cause),(Ch. Su. 11. 39)
Cause,Vegaudheerana as Prajna aparaadha (Disease cause),Vega,Vegaudheerana as Prajna aparaadha (Disease cause),(Ch. Su. 11. 39)
Physiology,Ksheptva bahir malaanaam (Physiology),Mala,Ksheptva bahir malaanaam (Physiology),(Ch. Su. 12. 8)
Treatment,Erande tu virechana (Pharmaceutical use),Virechana,Erande tu virechana (Pharmaceutical use),(Ch. Su. 13. 12)
Treatment,Avara maatra sneha indication (Pharmaceutical use),Atisaara,Avara maatra sneha indication (Pharmaceutical use),(Ch. Su. 13. 39)
Disease,Pureeshasya avipakvata - Atisnigdha lakshana (Disease feature),Pureesha,Abnormally formed feces,(Ch. Su. 13. 59)
Advise,Shakrut na udheerana (Advise),Shakrut,Shakrut na udheerana (Advise),(Ch. Su. 13. 62)
Advise,Shakrut na dhaarayet (Advise),Shakrut,Shakrut na dhaarayet (Advise),(Ch. Su. 13. 62)
Treatment,Sramsana eva cha - Sneha mithya upachaara chikitsa (Treatment),Sramsana,Sramsana eva cha - Sneha mithya upachaara chikitsa (Treatment),(Ch. Su. 13. 77)
Advise,Contraindication of swedana - Atisaaraanaam (Advise),Atisaara,Contraindication of swedana - Atisaaraanaam (Advise),(Ch. Su. 14. 16)
Advise,Guidelines for conducting treatment to people - Virechana (Advise),Virechana,Guidelines for conducting treatment to people - Virechana (Advise),(Ch. Su. 15. 3)
Advise,Infrastructure for health care unit - Virechana (Advise),Virechana,Infrastructure for health care unit - Virechana (Advise),(Ch. Su. 15. 7)
Advise,Shodhana paschaat karma - Vegasandhaarana (Advise),Virechana,Shodhana paschaat karma - Vegasandhaarana (Advise),(Ch. Su. 15. 15)
Advise,Shodhana paschaat karma - Vegaudheerana (Advise),Virechana,Shodhana paschaat karma - Vegaudheerana (Advise),(Ch. Su. 15. 15)
Cause,Vaataja shiro roga karana - Vireka ati (Cause),Vireka,Vaataja shiro roga karana - Vireka ati (Cause),(Ch. Su. 17. 17)
Cause,Shvayathu karana - Virechana ayathavat prayoga (Cause),Virechana,Shvayathu karana - Virechana ayathavat prayoga (Cause),(Ch. Su. 18. 6)
Cause,Nija shotha karana - Virechana mithya samsarjana (Cause),Virechana,Nija shotha karana - Virechana mithya samsarjana (Cause),(Ch. Su. 18. 6)
Disease,Shotha upadrava - Atisaara (Disease feature),Atisaara,Loose feces,(Ch. Su. 18. 18)
Pathology,Shad atisaara - Atisaara types (Pathology),Atisaara,Shad atisaara - Atisaara types (Pathology),(Ch. Su. 19. 3)
Pathology,Shad udaavarta - Udaavarta types - Pureeshaja Udaavarta (Pathology),Pureesha,Shad udaavarta - Udaavarta types - Pureeshaja Udaavarta (Pathology),(Ch. Su. 19. 3)
Anatomy,Pureesha aadhaanaam (Anatomy),Pureesha,Pureesha aadhaanaam (Anatomy),(Ch. Su. 20. 8)
Advise,Indication for langhana - Mala dushti (Advise),Mala,Indication for langhana - Mala dushti (Advise),(Ch. Su. 22. 19)
Advise,Sign of proper langhana - Pureeshaanaam visarge (Advise),Pureesha,Sign of proper langhana - Pureeshaanaam visarge (Advise),(Ch. Su. 22. 34)
Treatment,Santarpana janya vyadhi chikitsa - Vireko (Treatment),Vireko,Santarpana janya vyadhi chikitsa - Vireko (Treatment),(Ch. Su. 23. 8)
Treatment,Pittahara chikitsa agrya - Virechanam (Treatment),Virechana,Pittahara chikitsa agrya - Virechanam (Treatment),(Ch. Su. 25. 40)
Advise,Pureesha jananam agrya - Yavam (Advise),Pureesha,Pureesha jananam agrya - Yavam (Advise),(Ch. Su. 25. 40)
Treatment,Trivrit - Sukha virechana agrya (Treatment),Virechana,Trivrit - Sukha virechana agrya (Treatment),(Ch. Su. 25. 40)
Treatment,Aragvadha - Mridu virechana agrya (Treatment),Virechana,Aragvadha - Mridu virechana agrya (Treatment),(Ch. Su. 25. 40)
Treatment,Snuhi ksheera - Teekshna Virechana agrya (Treatment),Virechana,Snuhi ksheera - Teekshna Virechana agrya (Treatment),(Ch. Su. 25. 40)
Advise,Yava sukha - Sramsana agrya (Advise),Sramsana,Yava sukha - Sramsana agrya (Advise),(Ch. Su. 25. 40)
Cause,Aanaaha (Pureesha) kaarana - Madhura rasa ati sevana (Cause),Aanaaha,Aanaaha (Pureesha) kaarana - Madhura rasa ati sevana (Cause),(Ch. Su. 26. 42)
Advise,Madhura - Amla - Lavana Rasa - Pureeshaanaam mokshe sukham mata (Advise),Pureesha,Madhura - Amla - Lavana Rasa - Pureeshaanaam mokshe sukham mata (Advise),(Ch. Su. 26. 59)
Physiology,Pureesha formation (Physiology),Pureesha,Pureesha formation (Physiology),(Ch. Su. 28. 4)
Disease,Reduced tendency to pass pureesha - Vaataja jwara feature (Disease feature),Pureesha,Reduced tendency for defecation,(Ch. Ni. 1. 21)
Disease,Atisaara - Pittaja jwara feature (Disease feature),Atisaara,Loose feces,(Ch. Ni. 1. 24)
Disease,Shvaitya pureesha - Kaphaja jwara feature (Disease feature),Pureesha,Pale or white feces,(Ch. Ni. 1. 27)
Disease,Red Feces - Raktapitta Poorvaroopa (Disease premonitory feature),Shakrut,Red feces,(Ch. Ni. 2. 6)
Disease,Green Feces - Raktapitta Poorvaroopa (Disease premonitory feature),Shakrut,Green feces,(Ch. Ni. 2. 6)
Disease,Yellow Feces - Raktapitta Poorvaroopa (Disease premonitory feature),Shakrut,Yellow feces,(Ch. Ni. 2. 6)
Disease,Atisaara - Raktapitta Upadrava (Disease complication),Atisaara,Loose feces,(Ch. Ni. 2. 7)
Disease,Black Feces - Vaataja gulma (Disease feature),Pureesha,Black feces,(Ch. Ni. 3. 7)
Disease,Red Feces - Vaataja gulma (Disease feature),Pureesha,Red feces,(Ch. Ni. 3. 7)
Disease,Rough Feces - Vaataja gulma (Disease feature),Pureesha,Rough feces,(Ch. Ni. 3. 7)
Disease,Green Feces - Pittaja gulma (Disease feature),Pureesha,Green feces,(Ch. Ni. 3. 9)
Disease,Yellow Feces - Pittaja gulma (Disease feature),Pureesha,Yellow feces,(Ch. Ni. 3. 9)
Disease,Atisaara - Pittaja gulma (Disease feature),Atisaara,Loose feces,(Ch. Ni. 3. 9)
Disease,White Feces - Pittaja gulma (Disease feature),Pureesha,Pale or white feces,(Ch. Ni. 3. 11)
Disease,Atisaara - Raktaja gulma (Disease feature),Atisaara,Loose feces,(Ch. Ni. 3. 14)
Disease,Reduced urge for bowel movement - Gulma Poorvaroopa (Disease premonitory feature),Aatopa,Loose feces,(Ch. Ni. 3. 15)
Disease,Atisaara - Gulma Poorvaroopa (Disease premonitory feature),Atisaara,Loose feces,(Ch. Ni. 3. 15)
Disease,Atisaara - Prameha Upadrava (Disease complication),Atisaara,Loose feces,(Ch. Ni. 4. 48)
Disease,Atisaara - Kushta Upadrava (Disease complication),Atisaara,Loose feces,(Ch. Ni. 5. 11)
Disease,Bhinna pureesha - Sandharaana janya rajayakshma feature (Disease feature),Pureesha,Loose feces,(Ch. Ni. 6. 6)
Disease,Atisaara - Yakshma eka dasha roopa (Disease feature),Atisaara,Loose feces,(Ch. Ni. 6. 14)
Cause,Atisaara - Aahaara maatra atisevana (Cause),Atisaara,Atisaara - Aahaara maatra atisevana (Cause),(Ch. Vi. 2. 7)
Disease,Ada cha pravrittam dosha - Visuchika (Disease feature),Dosha,Stomach ache with loose feces,(Ch. Vi. 2. 11)
Pathology,Kricchra pureesha (Difficulty voiding) - Pureesha vaha sroto dushti (Pathology),Pureesha,Kricchra pureesha (Difficulty voiding) - Pureesha vaha sroto dushti (Pathology),(Ch. Vi. 5. 8)
Pathology,Alpa pureesha (Scanty) - Pureesha vaha sroto dushti (Pathology),Pureesha,Alpa pureesha (Scanty) - Pureesha vaha sroto dushti (Pathology),(Ch. Vi. 5. 8)
Pathology,Sa shabdha pureesha (With sound) - Pureesha vaha sroto dushti (Pathology),Pureesha,Sa shabdha pureesha (With sound) - Pureesha vaha sroto dushti (Pathology),(Ch. Vi. 5. 8)
Pathology,Sa shoola pureesha (With pain) - Pureesha vaha sroto dushti (Pathology),Pureesha,Sa shoola pureesha (With pain) - Pureesha vaha sroto dushti (Pathology),(Ch. Vi. 5. 8)
Pathology,Atidrava pureesha (Excess loose) - Pureesha vaha sroto dushti (Pathology),Pureesha,Atidrava pureesha (Excess loose) - Pureesha vaha sroto dushti (Pathology),(Ch. Vi. 5. 8)
Pathology,Atigranthi pureesha (Excess knotty) - Pureesha vaha sroto dushti (Pathology),Pureesha,Atigranthi pureesha (Excess knotty) - Pureesha vaha sroto dushti (Pathology),(Ch. Vi. 5. 8)
Pathology,Atibahu pureesha (Excess quantity) - Pureesha vaha sroto dushti (Pathology),Pureesha,Atibahu pureesha (Excess quantity) - Pureesha vaha sroto dushti (Pathology),(Ch. Vi. 5. 8)
Disease,Pureesha bheda (Excess loose) - Pureeshaja krimi (Disease feature),Pureesha,Loose feces,(Ch. Vi. 7. 13)
Physiology,Snigdha pureesha - Meda saara pureesha (Physiology),Pureesha,Snigdha pureesha - Meda saara pureesha (Physiology),(Ch. Vi. 8. 106)
Advise,"Pureesha kshaya diet - Kulmasha, etc. (Diet)",Pureesha,"Pureesha kshaya diet - Kulmasha, etc. (Diet)",(Ch. Sha. 6. 11)
